id,question,choices,answer
596,"A manufacturer is currently selling 2000 units each month of a product at $2 per unit. The manufacturer estimates that for every 1-cent increase there will be a drop in sales by 10 units. If the fixed costs are $500 and the material and labor costs total 40 cents a unit, at what price will the manufacturer maximize the profit?","['$2.50' '$1.90' '$2.70' '$2.60' '$1.80' '$2.20' '$2.00' '$2.40' '$2.10'
 '$2.30']",F
814,Fred Lowes is a typewriter salesman. He receives $15 for each typewriter sold. If he sells 12 typewriters what is his commission?,['$210' '$200' '$225' '$175' '$195' '$150' '$255' '$240' '$180' '$165'],I
817,"Mary Redmond purchased a $28,500 home with 20% down and the balance to be paid by monthly payments over 10 years. In addition, a financing charge of 7% per year of the unpaid balance is to be added to each monthly payment. Calculate the total payment due for the first month.",['$305' '$190' '$171' '$285.50' '$399' '$323' '$5700' '$133' '$228' '$256'],F
737,"Paul owed $56.30 plus a 3% sales tax to a sporting goods store. The terms were (2/10), (n/30). If Paul paid one week after the agreement, how much did he pay?","['$57.99' '$60.35' '$58.65' '$59.50' '$57.50' '$56.86' '$54.00' '$58.12'
 '$55.65' '$55.17']",F
485,"An automobile dealer wishes to sell one of his used cars, having a case price of $1260, on the installment plan. The plan requires no down payment, but a service charge of 6% per year is charged on the unpaid balance. In addition, a charge of $20 is made to cover legal fees. If the car is to be paid off in 18 monthly payments, how much should each monthly payment be?","['$1339.85' '$76.50' '$70' '$77.77' '$74.44' '$65.00' '$69.50' '$80.22'
 '$59.85' '$82.95']",E
755, Providing free samples of perfumes (scent) in magazines is an example of which of the following?,"['Operant conditioning.' 'Social learning.' 'Insight learning.'
 'Observational learning.' 'Cognitive learning.' 'Classical conditioning.'
 'Sensory learning.' 'Habituation.' 'Latent learning.'
 'Behavioural learning.']",F
703,"The Adam Manufacturing Co. distributes its overhead by using the ratio of total overhead to total prime cost. If the total overhead is $44,733, the total direct labor is $185,600, and the total materials used are $54,900, find (a) the overhead percent of prime cost, (b) the overhead charge to a department with a prime cost of $32,600.","['23.1%, $7,543.60' '21.4%, $6,964.40' '17.8%, $5,810.80' '22.3%, $7,200'
 '16.2%, $5,292.72' '20.5%, $5,000' '18.6%, $6,063.60' '14.9%, $4,868.40'
 '19.5%, $6,400' '15.6%, $5,800']",G
588,"Compute (1 / 3) % of 1,109.","['0.553' '0.3697' '7.218' '3.6597' '1.109' '4.219' '6.993' '11.09'
 '2.8145' '5.0948']",D
936,"A defendant, an indigent, was arrested and charged with attempted murder. The defendant, who had a history of psychiatric problems, had been diagnosed as being paranoid schizophrenic. The defendant was represented by a court-appointed attorney. In trying to prepare for trial, the attorney met with the defendant on numerous occasions. The attorney, however, found it difficult to communicate with the defendant, who, due to his paranoia, distrusted the attorney and believed he was working with the prosecution to convict him. The defendant was subsequently convicted. After the defendant was sentenced, the attorney filed an appeal seeking to overturn the conviction and have a new trial ordered. The appeal, in part, challenged the constitutionality of a state statute that placed the burden of proof on the defendant by requiring him to prove mental incompetency by clear and convincing evidence. In addition, the appeal claimed that the attorney was unable to provide adequate representation because there was a failure of communication between the defendant and his attorney. The appeal will most likely be","['granted, because the defendant has the burden to prove mental incompetency by a preponderance of the evidence, not by clear and convincing evidence.'
 'denied, because the defendant cannot base an appeal on ineffective assistance of counsel due to his own failure to communicate with his lawyer.'
 'denied, because it is constitutionally permissible to place the burden on the defendant to prove mental incompetency by clear and convincing evidence.'
 ""granted, because the prosecution has the burden to prove the defendant's competency by a preponderance of evidence.""
 'denied, because the burden of proof lies with the defendant in cases of mental incompetency.'
 'granted, because the state statute is unconstitutional as it places an undue burden on the defendant.'
 ""denied, because the defendant's own paranoia and distrust led to the breakdown in communication with his attorney.""
 ""granted, because the defendant's mental condition prevented him from effectively communicating with his attorney.""
 ""granted, because the attorney was unable to provide adequate representation due to the defendant's mental condition.""
 ""denied, because the defendant's mental incompetency does not absolve him of the crime he has been accused of.""]",D
207,"John's Lawn Mowing Service is a small business that acts as a price-taker (i.e., MR = P). The prevailing market price of lawn mowing is $20 per acre. John's costs are given by total cost = 0.1q^2 + 10q + 50, where q = the number of acres John chooses to cut a day. Calculate John's maximum daily profit.",['200' '100' '175' '120' '150' '225' '300' '250' '130' '160'],A
888,What is the major difference between naturalism and positivism?,"['On the one hand, naturalism is based on a set of rules that are of universal and objective scope and on the other hand, positivism is based on a structured and coherent legal system that is created by States in light of their interests and desires'
 'While naturalism serves only the theory human rights law, positivism has a wider and more general scope'
 'Naturalism concerns the underpinning values of the international society, while positivism the international rules as such'
 'Naturalism is a school of thought advocated outside of Europe, while positivism is Euro-centric theory']",A
147,Martha Michael spends $360 on her monthly telephone bills. This amounts to 6 (1 / 4) % of her earnings for the year. Find her yearly earnings.,"['$4,500' '$5,500' '$5,800' '$7,000' '$5,760' '$7,200' '$5,400' '$6,000'
 '$6,500' '$6,200']",E
